,Frames,Average Intensity,Standard Deviation
0,0,44.16,1.4051334456200237
1,1,44.0,1.6
2,2,43.48,1.0998181667894016
3,3,43.92,0.5599999999999999
4,4,43.92,1.26237870704476
5,5,43.88,1.5051910177781425
6,6,43.76,1.477294825009551
7,7,43.28,1.149608629055993
8,8,43.88,1.6809521111560555
9,9,43.12,1.0703270528207722
10,10,43.28,0.9600000000000001
11,11,43.32,1.4620533505997653
12,12,43.44,1.768162888424028
13,13,43.8,0.9797958971132712
14,14,43.12,1.0703270528207722
15,15,43.56,1.2674383614203888
16,16,43.32,1.1565465835840767
17,17,43.64,1.1271202242884297
18,18,42.08,1.0552724766618335
19,19,43.2,1.2649110640673515
20,20,43.76,1.2737346662472526
21,21,43.52,1.2039933554633928
22,22,43.96,1.7083325203250097
23,23,55.88,3.99319421015307
24,24,45.4,1.131370849898476
25,25,44.64,0.8890444308357148
26,26,45.04,1.148216007552586
27,27,44.84,1.460958589419974
28,28,45.2,1.5999999999999999
29,29,45.2,1.5748015748023623
30,30,45.64,1.52
31,31,45.64,1.7861690849412886
32,32,45.32,1.5157836257197133
33,33,45.28,1.312097557348538
34,34,45.08,0.9346657156438339
35,35,45.4,1.2649110640673518
36,36,45.56,1.444437606821423
37,37,46.04,1.28
38,38,45.28,1.4288456879593403
39,39,45.36,1.466424222385869
40,40,44.76,1.068831137270991
41,41,45.32,1.5419468213917105
42,42,45.76,1.8607525359380812
43,43,44.84,1.3469966592386189
44,44,44.56,1.022936948203554
45,45,48.64,1.7636326148038883
46,46,44.8,2.039607805437114
47,47,44.2,1.16619037896906
48,48,44.84,1.6656530250925612
49,49,42.44,0.4963869458396343
50,50,43.52,1.6029971927611104
51,51,53.76,4.197904239022134
52,52,51.52,4.23433583930231
53,53,42.68,1.2874781551544865
54,54,43.12,0.9516301802696254
55,55,43.12,1.557433786714543
56,56,43.4,1.2328828005937953
57,57,43.16,0.7310266752998826
58,58,43.16,0.88
59,59,43.4,1.019803902718557
60,60,43.96,1.2483589227461789
61,61,43.4,0.9797958971132713
62,62,44.08,1.5727682601069999
63,63,44.16,1.460958589419974
64,64,42.52,0.64
65,65,47.52,3.4072863102474966
66,66,56.96,2.690427475328038
67,67,53.6,4.17612260356422
68,68,42.72,1.929144888285999
69,69,42.12,0.7652450587883596
70,70,43.88,1.0322790320451152
71,71,43.64,1.162067123706716
72,72,43.48,1.2367699866992246
73,73,44.12,1.1426285485668561
74,74,43.52,1.2687001221722964
75,75,43.52,0.7547184905645282
76,76,43.56,0.8979977728257459
77,77,43.32,1.156546583584077
78,78,43.12,1.0322790320451152
79,79,43.4,1.1661903789690602
80,80,43.76,1.2092973166264778
81,81,43.24,0.9499473669630334
82,82,43.68,1.1565465835840771
83,83,43.44,1.0983624174196784
84,84,43.48,1.0244998779892558
85,85,43.24,1.3646977687385584
86,86,43.0,1.019803902718557
87,87,43.16,0.9243376006633074
88,88,43.0,1.469693845669907
89,89,43.48,1.0628264204469138
90,90,43.12,1.5051910177781425
91,91,43.0,1.0954451150103321
92,92,42.68,1.5419468213917105
93,93,43.4,1.131370849898476
94,94,46.6,5.299056519796709
95,95,51.96,4.458519933789688
96,96,45.28,1.8225257199831228
97,97,44.68,1.0476640682967036
98,98,44.84,1.616910634512619
99,99,45.2,1.296148139681572
100,100,45.16,1.3763720427268202
101,101,45.6,1.5491933384829668
102,102,45.32,1.6178998732925347
103,103,45.84,1.68949696655543
104,104,45.48,1.6029971927611104
105,105,46.64,1.292439553712281
106,106,45.48,1.6521501142450707
107,107,44.96,2.087678136111982
108,108,45.6,0.9797958971132713
109,109,45.68,1.121427661510095
110,110,45.56,1.2986146464598343
